filename,path,width,height,resolution,fps,frame_count,duration_sec,codec,file_size_mb,avg_brightness,avg_contrast,bitrate_mbps
A88O.mp4,A88O.mp4,1920,1080,1920x1080,29.97315383596123,9597,320.186526,h264,374.14509105682373,116.48783550347221,49.71953629281221,9.34817828172629
A80U.mp4,A80U.mp4,1920,1080,1920x1080,29.97330362917952,9157,305.505196,h264,265.2048616409302,129.0557961998457,40.84588425959282,6.944690044248679
A40E.mp4,A40E.mp4,1920,1080,1920x1080,29.97330958765108,9140,304.937964,h264,260.6440658569336,115.95725684799382,52.92054924890401,6.837956479749661
A99X.mp4,A99X.mp4,1920,1080,1920x1080,29.973324334221484,9100,303.603294,h264,330.473669052124,116.85770563271606,50.82094663334214,8.70803909135779
B12G.mp4,B12G.mp4,1920,1080,1920x1080,29.97331832210462,9117,304.170526,h264,373.033371925354,118.85555806327162,38.37815359452234,9.811164200054124
C16G.mp4,C16G.mp4,1920,1080,1920x1080,29.97330695027096,9149,305.238258,h264,292.9039144515991,123.53220804398147,38.960566214034415,7.676728765804951
A83X.mp4,A83X.mp4,1920,1080,1920x1080,29.97332463049502,9099,303.569928,h264,318.5961971282959,113.1106472318673,49.75107723409012,8.395988343833475
C28D.mp4,C28D.mp4,1920,1080,1920x1080,29.973320093444645,9111,303.97033,h264,345.53556537628174,107.04652309992284,50.821405719222426,9.093928749592942
C43T.mp4,C43T.mp4,1920,1080,1920x1080,29.973332154785126,9077,302.835866,h264,355.9374523162842,124.65918349729938,32.861406416744686,9.402781962854668
C46R.mp4,C46R.mp4,1920,1080,1920x1080,29.973316157526686,9121,304.304,h264,329.65398502349854,123.19989564043212,23.439337981729874,8.666438430608826
C42I.mp4,C42I.mp4,1920,1080,1920x1080,29.97334250612347,9049,301.901598,h264,337.7079725265503,122.1830848283179,33.12941913413928,8.94882239150123
C56Y.mp4,C56Y.mp4,1920,1080,1920x1080,29.973251144054775,9306,310.47683,h264,324.8532876968384,130.1435176986883,24.64488391385406,8.370435570263671
C36X.mp4,C36X.mp4,1920,1080,1920x1080,29.973319207483076,9114,304.070428,h264,303.24897956848145,119.4616975308642,48.146327315350725,7.978387942900688
A31H.mp4,A31H.mp4,1920,1080,1920x1080,29.97333275062312,9075,302.769134,h264,359.9770784378052,120.46623582175923,36.7508896708345,9.511592510954044
A66S.mp4,A66S.mp4,1920,1080,1920x1080,29.97330509065474,9152,305.338366,h264,261.5865602493286,118.91884461805554,48.94135783751885,6.853683372349706
A92O.mp4,A92O.mp4,1920,1080,1920x1080,29.973305675692096,9150,305.271634,h264,295.96700286865234,119.41717920524691,49.318450525785494,7.756161265049666
B53D.mp4,B53D.mp4,1920,1080,1920x1080,29.97331556833132,9123,304.37073200000003,h264,263.24562549591064,126.12361969521605,30.43808084417022,6.919078553082708
A36O.mp4,A36O.mp4,1920,1080,1920x1080,29.97331861716602,9116,304.13716,h264,331.91448497772217,111.23645013503088,52.60235959907565,8.730652577349566
A61V.mp4,A61V.mp4,1920,1080,1920x1080,29.973309881013968,9139,304.90459800000025,h264,318.0696773529053,118.97972704475308,41.38145078245663,8.345421602409683
C33I.mp4,C33I.mp4,1920,1080,1920x1080,29.97329206816609,9190,306.606294,h264,281.7995319366455,123.01111593364199,48.37568962748829,7.352739652151969
A99Y.mp4,A99Y.mp4,1920,1080,1920x1080,29.973319798059297,9112,304.003696,h264,343.9637746810913,112.49329976851853,42.796392061349195,9.05156823306757
A59Z.mp4,A59Z.mp4,1920,1080,1920x1080,29.97334250612347,9049,301.901598,h264,279.6730089187622,112.88996768904322,53.001874745552826,7.410971277303732
A41X.mp4,A41X.mp4,1920,1080,1920x1080,29.973309294352358,9141,304.97133,h264,297.86866188049316,117.21952840470678,48.74732124928628,7.81368299454229
C48S.mp4,C48S.mp4,1920,1080,1920x1080,29.973259860936086,9282,309.67602600000004,h264,291.7934741973877,120.87775217013889,45.62600622961192,7.538031999865244
B88L.mp4,B88L.mp4,1920,1080,1920x1080,29.97331802710795,9118,304.203892,h264,298.7256965637207,120.97242785493827,49.566066132862815,7.855933587167141
B36R.mp4,B36R.mp4,1920,1080,1920x1080,29.973313214131174,9131,304.63766,h264,360.5948266983032,121.4828147183642,35.81780285547672,9.469474698520289
B68G.mp4,B68G.mp4,1920,1080,1920x1080,29.97330450587305,9154,305.405098,h264,330.32321071624756,121.5090172646605,32.72253742642196,8.652722901599962
C58C.mp4,C58C.mp4,1920,1080,1920x1080,29.973270906322433,9250,308.608294,h264,311.4804458618164,122.34834905478394,35.92851469506134,8.074454301265575
B61D.mp4,B61D.mp4,1920,1080,1920x1080,29.973314685022537,9126,304.47083,h264,322.62285804748535,124.45308598572532,32.6864419016061,8.476946262405114
C18X.mp4,C18X.mp4,1920,1080,1920x1080,29.973323741869734,9102,303.670026,h264,298.88828563690186,120.18591030092594,47.360385913915394,7.874027992131218
